timestamp,thames_ditton
2026-02-21 18:30:00+00:00,5.881
2026-02-21 18:45:00+00:00,5.854
2026-02-21 19:00:00+00:00,5.816
2026-02-21 19:15:00+00:00,5.782
2026-02-21 19:30:00+00:00,5.747
2026-02-21 19:45:00+00:00,5.716
2026-02-21 20:00:00+00:00,5.681
2026-02-21 20:15:00+00:00,5.656
2026-02-21 20:30:00+00:00,5.64
2026-02-21 20:45:00+00:00,5.617
2026-02-21 21:00:00+00:00,5.596
2026-02-21 21:15:00+00:00,5.586
2026-02-21 21:30:00+00:00,5.573
2026-02-21 21:45:00+00:00,5.562
2026-02-21 22:00:00+00:00,5.556
2026-02-21 22:15:00+00:00,5.542
2026-02-21 22:30:00+00:00,5.534
2026-02-21 22:45:00+00:00,5.527
2026-02-21 23:00:00+00:00,5.525
2026-02-21 23:15:00+00:00,5.518
2026-02-21 23:30:00+00:00,5.512
2026-02-21 23:45:00+00:00,5.507
2026-02-22 00:00:00+00:00,5.505
2026-02-22 00:15:00+00:00,5.503
2026-02-22 00:30:00+00:00,5.502
2026-02-22 00:45:00+00:00,5.501
2026-02-22 01:00:00+00:00,5.496
2026-02-22 01:15:00+00:00,5.497
2026-02-22 01:30:00+00:00,5.495
2026-02-22 01:45:00+00:00,5.497
2026-02-22 02:00:00+00:00,5.495
2026-02-22 02:15:00+00:00,5.488
2026-02-22 02:30:00+00:00,5.484
2026-02-22 02:45:00+00:00,5.488
2026-02-22 03:00:00+00:00,5.483
2026-02-22 03:15:00+00:00,5.482
2026-02-22 03:30:00+00:00,5.485
2026-02-22 03:45:00+00:00,5.486
2026-02-22 04:00:00+00:00,5.486
2026-02-22 04:15:00+00:00,5.494
2026-02-22 04:30:00+00:00,5.511
2026-02-22 04:45:00+00:00,5.543
2026-02-22 05:00:00+00:00,5.581
2026-02-22 05:15:00+00:00,5.641
2026-02-22 05:30:00+00:00,5.71
2026-02-22 05:45:00+00:00,5.779
2026-02-22 06:00:00+00:00,5.825
2026-02-22 06:15:00+00:00,5.834
2026-02-22 06:30:00+00:00,5.822
2026-02-22 06:45:00+00:00,5.806
2026-02-22 07:00:00+00:00,5.775
2026-02-22 07:15:00+00:00,5.742
2026-02-22 07:30:00+00:00,5.711
2026-02-22 07:45:00+00:00,5.685
2026-02-22 08:00:00+00:00,5.665
2026-02-22 08:15:00+00:00,5.636
2026-02-22 08:30:00+00:00,5.62
2026-02-22 08:45:00+00:00,5.603
2026-02-22 09:00:00+00:00,5.59
2026-02-22 09:15:00+00:00,5.576
2026-02-22 09:30:00+00:00,5.567
2026-02-22 09:45:00+00:00,5.555
2026-02-22 10:00:00+00:00,5.547
2026-02-22 10:15:00+00:00,5.546
2026-02-22 10:30:00+00:00,5.53
2026-02-22 10:45:00+00:00,5.527
2026-02-22 11:00:00+00:00,5.524
2026-02-22 11:15:00+00:00,5.516
2026-02-22 11:30:00+00:00,5.513
2026-02-22 11:45:00+00:00,5.511
2026-02-22 12:00:00+00:00,5.507
2026-02-22 12:15:00+00:00,5.503
2026-02-22 12:30:00+00:00,5.496
2026-02-22 12:45:00+00:00,5.495
2026-02-22 13:00:00+00:00,5.495
2026-02-22 13:15:00+00:00,5.491
2026-02-22 13:30:00+00:00,5.491
2026-02-22 13:45:00+00:00,5.482
2026-02-22 14:00:00+00:00,5.482
2026-02-22 14:15:00+00:00,5.475
2026-02-22 14:30:00+00:00,5.476
2026-02-22 14:45:00+00:00,5.476
2026-02-22 15:00:00+00:00,5.466
2026-02-22 15:15:00+00:00,5.466
2026-02-22 15:30:00+00:00,5.464
2026-02-22 15:45:00+00:00,5.46
2026-02-22 16:00:00+00:00,5.456
2026-02-22 16:15:00+00:00,5.454
2026-02-22 16:30:00+00:00,5.446
2026-02-22 16:45:00+00:00,5.446
