timestamp,value
2026-01-07T02:15:00Z,0.636
2026-01-07T02:30:00Z,0.637
2026-01-07T02:45:00Z,0.636
2026-01-07T03:00:00Z,0.635
2026-01-07T03:15:00Z,0.636
2026-01-07T03:30:00Z,0.635
2026-01-07T03:45:00Z,0.635
2026-01-07T04:00:00Z,0.635
2026-01-07T04:15:00Z,0.635
2026-01-07T04:30:00Z,0.634
2026-01-07T04:45:00Z,0.636
2026-01-07T05:00:00Z,0.635
2026-01-07T05:15:00Z,0.636
2026-01-07T05:30:00Z,0.636
2026-01-07T05:45:00Z,0.638
2026-01-07T06:00:00Z,0.638
2026-01-07T06:15:00Z,0.638
2026-01-07T06:30:00Z,0.64
2026-01-07T06:45:00Z,0.639
2026-01-07T07:00:00Z,0.639
2026-01-07T07:15:00Z,0.641
2026-01-07T07:30:00Z,0.641
2026-01-07T07:45:00Z,0.64
2026-01-07T08:00:00Z,0.64
2026-01-07T08:15:00Z,0.64
2026-01-07T08:30:00Z,0.639
2026-01-07T08:45:00Z,0.638
2026-01-07T09:00:00Z,0.638
2026-01-07T09:15:00Z,0.637
2026-01-07T09:30:00Z,0.638
2026-01-07T09:45:00Z,0.637
2026-01-07T10:00:00Z,0.637
2026-01-07T10:15:00Z,0.638
2026-01-07T10:30:00Z,0.637
2026-01-07T10:45:00Z,0.636
2026-01-07T11:00:00Z,0.637
2026-01-07T11:15:00Z,0.637
2026-01-07T11:30:00Z,0.638
2026-01-07T11:45:00Z,0.638
2026-01-07T12:00:00Z,0.639
2026-01-07T12:15:00Z,0.64
2026-01-07T12:30:00Z,0.638
2026-01-07T12:45:00Z,0.638
2026-01-07T13:15:00Z,0.637
2026-01-07T13:00:00Z,0.639
2026-01-07T13:30:00Z,0.639
2026-01-07T13:45:00Z,0.638
2026-01-07T14:15:00Z,0.638
2026-01-07T14:00:00Z,0.638
2026-01-07T14:30:00Z,0.638
2026-01-07T14:45:00Z,0.637
2026-01-07T15:00:00Z,0.638
2026-01-07T15:15:00Z,0.638
2026-01-07T15:30:00Z,0.637
2026-01-07T15:45:00Z,0.637
2026-01-07T16:00:00Z,0.636
2026-01-07T16:15:00Z,0.637
2026-01-07T16:30:00Z,0.635
2026-01-07T16:45:00Z,0.636
2026-01-07T17:00:00Z,0.635
2026-01-07T17:15:00Z,0.634
2026-01-07T17:30:00Z,0.634
2026-01-07T17:45:00Z,0.633
2026-01-07T18:00:00Z,0.633
2026-01-07T18:15:00Z,0.633
2026-01-07T18:30:00Z,0.632
2026-01-07T18:45:00Z,0.632
2026-01-07T19:00:00Z,0.632
2026-01-07T19:15:00Z,0.632
2026-01-07T19:30:00Z,0.632
2026-01-07T19:45:00Z,0.631
2026-01-07T20:00:00Z,0.631
2026-01-07T20:15:00Z,0.632
2026-01-07T20:30:00Z,0.63
2026-01-07T20:45:00Z,0.63
2026-01-07T21:00:00Z,0.63
2026-01-07T21:15:00Z,0.629
2026-01-07T21:30:00Z,0.629
2026-01-07T22:30:00Z,0.627
2026-01-07T22:00:00Z,0.629
2026-01-07T21:45:00Z,0.629
2026-01-07T22:15:00Z,0.628
2026-01-07T22:45:00Z,0.628
2026-01-07T23:00:00Z,0.628
2026-01-07T23:15:00Z,0.626
2026-01-07T23:30:00Z,0.628
2026-01-07T23:45:00Z,0.627
2026-01-08T00:00:00Z,0.626
2026-01-08T00:15:00Z,0.626
2026-01-08T00:30:00Z,0.626
2026-01-08T00:45:00Z,0.627
2026-01-08T01:00:00Z,0.626
2026-01-08T01:15:00Z,0.625
2026-01-08T01:30:00Z,0.626
2026-01-08T01:45:00Z,0.625
2026-01-08T02:00:00Z,0.626
2026-01-08T02:15:00Z,0.626
2026-01-08T02:30:00Z,0.624
